Identifier,IdentityScore,EAScore,UWScore,Owner_Verified_Components,Owner_Negatively_Verified_Components,Owner_Phone_1_to_Name_Linkage,Owner_Phone_1_to_First_Name_Linkage,Owner_Address_to_Phone_1_Linkage,Owner_Email_to_Phone_1_Linkage,Owner_Prepaid_Phone_Attribute,Owner_Business_Phone_Indicator,Owner_Phone_InService_Indicator,Owner_Phone_Type_Indicator,Owner_Service_Discontinued_Indicator,Owner_Recent_Phone_Usage_Past_2_months,Owner_Phone_Usage_Past_12_months,Owner_Phone_Carrier,Owner_Parent_Phone_Carrier,Owner_Technology_Indicator,Owner_VoIP_Indicator,Owner_MVNO_Indicator,Fraud
1017368,999,500,99.132,8,8,-2,-2,-2,-2,,,,,NA,NA,NA,,,,,,1
1021349,999,500,99.132,8,7,-2,-2,-2,-2,,,,,NA,NA,NA,,,,,,1
1020979,998,709,98.822,8,2,-1,-1,-1,0,N,U,I1,L,0,1,2,Verizon,Verizon,Wireline,3,,1
1021100,998,709,98.822,8,2,-1,-1,-1,0,N,U,I1,L,0,1,2,Verizon,Verizon,Wireline,3,,1
1018419,861,500,98.719,8,5,-1,-1,-2,0,N,B,A6,L,0,2,3,TCG,AT&T,Wireline,3,,1
1021427,998,709,98.571,8,5,-1,-1,-2,0,N,U,I1,L,0,1,2,Verizon,Verizon,Wireline,3,,1
1020985,825,500,98.258,8,8,-2,-2,-2,-2,,,,,NA,NA,NA,,,,,,1
1020536,983,494,97.909,8,8,-2,-2,-2,-2,,,,,NA,NA,NA,,,,,,1
1020667,999,227,97.731,8,5,-1,-1,0,-2,N,U,A4,W,5,1,3,Cingular Wireless,AT&T,Wireless,,N,1
1021274,998,289,97.48,8,8,0,0,-2,0,N,B,U,U,0,0,0,,,,,,1
1020987,999,500,97.042,8,8,0,0,-2,0,N,U,I1,W,0,1,1,"USA MOBILITY WIRELESS, INC.",,,,N,1
1021448,963,500,96.943,8,5,-1,-1,-2,0,N,U,I1,L,0,1,2,Verizon,Verizon,Wireline,3,,1
1021078,998,500,96.931,8,7,0,0,-1,0,N,U,A4,L,0,2,3,BANDWIDTH.COM,Bandwidth.com,Wireline,1,,1
1018761,700,930,96.511,8,8,0,0,-2,0,N,U,A1,L,0,0,2,Neutral Tandem - NSR,Onvoy,Wireline,1,,1
1018345,598,707,95.922,2,8,2,-1,-1,-2,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1011526,987,500,95.832,7,5,-1,1,-1,0,N,U,A4,L,0,3,3,Onvoy - SVR,Onvoy,Wireline,1,,1
1012421,998,500,95.79,8,8,0,0,0,0,Y,U,A1,W,1,3,3,T-Mobile US-TSI,T-Mobile,Wireless,,N,1
1014122,998,500,95.79,7,8,0,0,-1,0,Y,U,A4,W,0,2,3,Cingular Wireless,AT&T,Wireless,,Y,1
1020505,971,500,95.307,8,8,-2,-2,-2,-2,,,,,NA,NA,NA,,,,,,1
1019079,998,500,94.691,8,2,-1,-1,-1,0,N,U,A4,W,6,3,3,Sprint PCS,Sprint Nextel,Wireless,,N,1